Year|MainOustandingTaxLiab|SecondaryTaxLiab|ContestedTaxLiab|TotalTaxLiab|UncontestedTaxLiab|BudgetType|ID
2018|66761|5199|0|71960|71960|DateBudget|6408
2018|16024|24977|0|41001|41001|DateBudget|6409
2018|66657|122467|0|189124|189124|DateBudget|6410
2018|36238|23732|0|59970|59970|DateBudget|6411
2018|57820|64959|0|122779|122779|DateBudget|6412
2018|177640|140329|0|317969|317969|DateBudget|6413
2018|15797|84120|0|99917|99917|DateBudget|6414
2018|25587|39150|0|64737|64737|DateBudget|6415
2018|33838|73557|0|107395|107395|DateBudget|6416
2018|2235097|0|0|2235097|2235097|DateBudget|6417
2018|4691900|1751039|0|6442939|6442939|DateBudget|6418
2018|410379|619678|0|1030057|1030057|DateBudget|6419
2018|105390|256010|0|361400|361400|DateBudget|6420
2018|3411387|276786|0|3688173|3688173|DateBudget|6421
2018|57098|59076|0|116174|116174|DateBudget|6422
2018|29480|32421|0|61901|61901|DateBudget|6423
2018|60259|139617|0|199876|199876|DateBudget|6424
2018|49386|78379|0|127765|127765|DateBudget|6425
2018|44743|25207|0|69950|69950|DateBudget|6426
2018|6105|12459|0|18564|18564|DateBudget|6427
2018|155208|249514|0|404722|404722|DateBudget|6428
2018|41044|51118|0|92162|92162|DateBudget|6429
2018|59494|64136|0|123630|123630|DateBudget|6430
2018|62749|19923|0|82672|82672|DateBudget|6431
2018|53726|12697|0|66423|66423|DateBudget|6432
2018|132371|37733|0|170104|170104|DateBudget|6433
2018|19363|36919|0|56282|56282|DateBudget|6434
2018|223340|281798|0|505138|505138|DateBudget|6435
2018|80217|134602|0|214819|214819|DateBudget|6436
2018|124486|257840|0|382326|382326|DateBudget|6437
2018|144212|105270|0|249482|249482|DateBudget|6438
2018|14487|66210|0|80697|80697|DateBudget|6439
2018|153330|339138|0|492468|492468|DateBudget|6440
2018|51786|52702|0|104488|104488|DateBudget|6441
2018|170103|52821|0|222924|222924|DateBudget|6442
2018|68329|38836|0|107165|107165|DateBudget|6443
2018|144376|307922|0|452298|452298|DateBudget|6444
2018|64339|37279|0|101618|101618|DateBudget|6445
2018|243445|51037|0|294482|294482|DateBudget|6446
2018|2274181|7362|0|2281543|2281543|DateBudget|6447
2018|40449|97474|0|137923|137923|DateBudget|6448
2018|172008|319779|0|491787|491787|DateBudget|6449
2018|137652|191841|0|329493|329493|DateBudget|6450
2018|16886|33590|0|50476|50476|DateBudget|6451
2018|1671888|1660559|0|3332447|3332447|DateBudget|6452
2018|78037|144685|0|222722|222722|DateBudget|6453
2018|31141|9685|0|40826|40826|DateBudget|6454
2018|1746|364666|0|366412|366412|DateBudget|6455
2018|52620|87595|0|140215|140215|DateBudget|6456
