ID|FirstRegistrationAge|LastRegistrationAge|TotalNoRecords|AverageNoRecords
18993|1|1|22|22
18994|6|6|5|5
18995|3|1|36|12
18996|9|8|8|4
18997|7|2|58|9.6666666666667
18998|8|7|4|2
18999|6|6|8|8
19000|6|6|8|8
19001|7|1|41|5.8571428571429
19002|8|9|2|
19003|4|1|64|16
19004|6|6|5|5
19005|2|2|23|23
19006|5|4|19|9.5
19007|5|4|14|7
19008|5|5|4|4
19009|7|8|5|
19010|9|9|13|13
19011|3|4|7|
19012|8|8|7|7
19013|4|4|12|12
19014|1|1|24|24
19015|5|5|7|7
19016|9|10|1|
19017|7|7|6|6
19018|1|1|20|20
19019|6|7|6|
19020|4|4|13|13
19021|5|5|7|7
19022|10|8|5|1.6666666666667
19023|4|1|56|14
19024|5|5|12|12
19025|6|6|4|4
19026|5|6|7|
19027|1|1|13|13
19028|5|5|8|8
19029|5|5|7|7
19030|5|5|3|3
19031|2|3|9|
19032|4|1|38|9.5
19033|4|4|7|7
19034|3|1|29|9.6666666666667
19035|3|1|37|12.333333333333
19036|5|3|17|5.6666666666667
19037|6|3|20|5
19038|7|7|4|4
19039|8|5|23|5.75
19040|10|11|2|
19041|4|5|6|
19042|4|4|11|11
19043|8|4|44|8.8
19044|8|4|36|7.2
19045|4|4|8|8
19046|9|9|11|11
19047|1|1|9|9
19048|1|1|10|10
19049|8|9|5|
19050|9|8|4|2
19051|4|5|8|
19052|1|2|13|
19053|1|1|27|27
19054|7|8|7|
19055|6|5|18|9
19056|0|1|1|
19057|8|8|7|7
19058|9|8|6|3
19059|5|6|8|
19060|5|6|6|
19061|4|1|32|8
19062|4|1|74|18.5
19063|9|8|11|5.5
19064|5|2|65|16.25
19065|6|4|50|16.666666666667
19066|10|11|1|
19067|6|1|60|10
19068|10|2|42|4.6666666666667
19069|10|10|2|2
19070|6|7|9|
19071|5|5|3|3
19072|5|6|7|
19073|8|8|14|14
19074|10|10|2|2
19075|5|5|7|7
19076|10|8|8|2.6666666666667
19077|7|7|7|7
19078|8|8|11|11
19079|5|5|6|6
19080|5|5|10|10
19081|6|6|13|13
19082|4|5|7|
19083|5|6|4|
19084|6|7|5|
19085|9|9|10|10
19086|4|5|16|
19087|8|6|13|4.3333333333333
19088|5|5|10|10
19089|5|5|5|5
19090|5|1|80|16
19091|9|9|3|3
19092|4|5|8|
19093|6|6|15|15
19094|3|2|18|9
19095|8|4|15|3
19096|4|5|14|
19097|5|1|59|11.8
19098|1|1|18|18
19099|7|3|18|3.6
19100|7|3|27|5.4
19101|4|4|6|6
19102|10|7|20|5
19103|6|1|55|9.1666666666667
19104|4|5|6|
19105|6|1|108|18
19106|4|5|7|
19107|4|5|7|
19108|9|1|11|1.2222222222222
19109|4|4|14|14
19110|6|1|37|6.1666666666667
19111|1|1|13|13
19112|4|5|6|
19113|5|5|6|6
19114|8|6|10|3.3333333333333
19115|5|6|5|
19116|4|1|48|12
19117|12|13|2|
19118|4|5|8|
19119|4|4|11|11
19120|7|7|4|4
19121|2|2|12|12
19122|5|5|20|20
19123|3|4|6|
19124|5|5|8|8
19125|0|1|4|
19126|3|2|15|7.5
19127|0|1|7|
19128|3|2|26|13
19129|1|1|17|17
19130|8|4|5|1
19131|9|9|11|11
19132|6|5|37|18.5
19133|10|9|8|4
19134|4|2|62|20.666666666667
19135|0|1|7|
19136|10|10|3|3
19137|5|6|6|
19138|6|6|5|5
19139|9|8|12|6
19140|2|2|13|13
19141|2|1|14|7
19142|4|4|10|10
19143|9|9|7|7
19144|6|6|9|9
19145|3|2|12|6
19146|5|5|9|9
19147|10|8|15|5
19148|7|7|7|7
19149|1|1|13|13
19150|2|1|11|5.5
19151|7|7|7|7
19152|1|1|6|6
19153|4|1|19|4.75
19154|7|8|7|
19155|7|6|10|5
19156|5|5|11|11
19157|9|9|6|6
19158|10|11|1|
19159|6|6|5|5
19160|3|3|14|14
19161|10|11|1|
19162|5|3|21|7
19163|4|4|4|4
19164|7|7|8|8
19165|4|1|48|12
19166|9|8|6|3
19167|2|1|27|13.5
19168|9|7|17|5.6666666666667
19169|12|13|1|
19170|8|7|6|3
19171|5|5|18|18
19172|5|3|39|13
19173|3|3|8|8
19174|6|6|21|21
19175|9|9|4|4
19176|6|5|13|6.5
19177|6|6|13|13
19178|6|6|5|5
19179|1|1|11|11
19180|5|5|6|6
19181|6|6|4|4
19182|9|5|12|2.4
19183|10|10|9|9
19184|9|9|13|13
19185|9|9|11|11
19186|4|5|5|
19187|8|1|154|19.25
19188|5|1|57|11.4
19189|5|3|24|8
19190|6|6|6|6
19191|4|5|8|
19192|6|6|6|6
19193|0|1|1|
19194|0|1|15|
19195|9|3|16|2.2857142857143
19196|7|7|6|6
19197|10|8|10|3.3333333333333
19198|7|7|15|15
19199|0|1|2|
19200|9|9|4|4
19201|5|6|9|
19202|6|3|47|11.75
19203|4|5|10|
19204|9|8|17|8.5
19205|6|6|8|8
19206|5|6|9|
19207|9|10|3|
19208|4|5|8|
19209|2|1|18|9
19210|10|6|12|2.4
19211|9|9|7|7
19212|5|5|9|9
19213|8|6|9|3
19214|9|7|7|2.3333333333333
19215|5|1|49|9.8
19216|4|5|6|
19217|6|6|11|11
19218|9|8|9|4.5
19219|10|11|1|
19220|4|3|29|14.5
19221|7|4|18|4.5
19222|5|5|24|24
19223|8|7|10|5
19224|9|7|12|4
19225|7|6|18|9
19226|8|5|49|12.25
19227|5|5|6|6
19228|6|7|5|
19229|8|7|13|6.5
19230|4|5|10|
19231|5|6|8|
19232|4|5|8|
19233|6|5|4|2
19234|9|9|4|4
19235|6|6|6|6
19236|1|1|20|20
19237|4|3|9|4.5
19238|7|7|11|11
19239|4|5|7|
19240|2|1|20|10
19241|4|1|32|8
19242|9|10|1|
19243|3|1|24|8
19244|3|3|18|18
19245|5|6|5|
19246|5|6|5|
19247|9|1|21|2.3333333333333
19248|6|7|7|
19249|6|2|17|3.4
19250|5|5|6|6
19251|5|5|11|11
19252|7|7|6|6
19253|3|1|69|23
19254|1|1|15|15
19255|6|6|17|17
19256|8|8|7|7
19257|9|8|10|5
19258|2|2|11|11
19259|6|1|43|7.1666666666667
19260|12|13|1|
19261|5|4|26|13
19262|5|6|10|
19263|5|3|34|11.333333333333
19264|1|2|16|
19265|10|9|4|2
19266|9|9|3|3
19267|8|7|6|3
19268|7|2|24|4
19269|2|3|9|
19270|5|5|6|6
19271|1|1|19|19
19272|4|5|8|
19273|3|3|14|14
19274|4|4|8|8
19275|5|4|8|4
19276|9|9|6|6
19277|7|7|11|11
19278|5|5|11|11
19279|4|4|22|22
19280|3|3|13|13
19281|2|1|13|6.5
19282|7|8|6|
19283|6|5|14|7
19284|5|5|6|6
19285|4|5|9|
19286|10|10|5|5
19287|3|1|32|10.666666666667
19288|7|1|38|5.4285714285714
19289|7|7|11|11
19290|7|7|10|10
19291|6|6|5|5
19292|5|4|12|6
19293|4|5|13|
19294|7|7|9|9
19295|3|1|46|15.333333333333
19296|8|8|11|11
19297|5|1|8|1.6
19298|10|11|1|
19299|7|7|10|10
19300|9|9|5|5
19301|9|10|6|
19302|7|7|8|8
19303|1|1|16|16
19304|4|3|20|10
19305|10|9|8|4
19306|7|7|8|8
19307|9|8|7|3.5
19308|5|3|20|6.6666666666667
19309|10|10|3|3
19310|9|2|26|3.25
19311|4|5|4|
19312|2|2|13|13
19313|4|4|12|12
19314|1|1|13|13
19315|7|6|8|4
19316|6|6|9|9
19317|9|1|70|7.7777777777778
19318|6|6|8|8
19319|7|7|7|7
19320|10|7|15|3.75
19321|1|1|14|14
19322|0|1|15|
19323|7|5|33|11
19324|5|2|21|5.25
19325|7|7|4|4
19326|4|4|6|6
19327|2|2|11|11
19328|2|1|16|8
19329|7|7|7|7
19330|9|9|3|3
19331|6|6|18|18
19332|7|7|7|7
19333|5|6|5|
19334|6|6|5|5
19335|4|3|27|13.5
19336|4|4|16|16
19337|3|2|12|6
19338|6|6|7|7
19339|6|6|5|5
19340|5|5|7|7
19341|9|8|4|2
19342|7|6|16|8
19343|12|2|43|3.9090909090909
19344|6|6|7|7
19345|9|2|64|8
19346|0|1|10|
19347|6|7|4|
19348|10|11|1|
19349|8|8|3|3
19350|8|8|3|3
19351|5|6|9|
19352|3|1|21|7
19353|6|7|8|
19354|6|6|4|4
19355|5|5|8|8
19356|6|6|5|5
19357|9|5|21|4.2
19358|7|7|14|14
19359|5|4|8|4
19360|7|7|5|5
19361|10|1|28|2.8
19362|6|4|29|9.6666666666667
19363|1|1|15|15
19364|7|7|4|4
19365|6|5|9|4.5
19366|6|2|15|3
19367|5|5|9|9
19368|7|6|6|3
19369|12|13|2|
19370|6|1|78|13
19371|5|6|5|
19372|4|4|10|10
19373|6|6|9|9
19374|0|1|6|
19375|8|9|5|
19376|0|1|12|
19377|4|5|11|
19378|4|1|74|18.5
19379|5|6|7|
19380|5|4|8|4
19381|8|7|6|3
19382|5|5|9|9
19383|3|1|12|4
19384|6|5|15|7.5
19385|4|4|6|6
19386|2|3|11|
19387|8|8|7|7
19388|8|9|7|
19389|4|1|45|11.25
19390|9|8|11|5.5
19391|5|5|8|8
19392|5|6|4|
19393|1|1|23|23
19394|5|2|26|6.5
19395|7|6|14|7
19396|7|7|12|12
19397|2|1|14|7
19398|4|5|5|
19399|3|4|13|
19400|0|1|5|
19401|9|8|10|5
19402|5|5|5|5
19403|6|5|12|6
19404|7|6|26|13
19405|7|7|4|4
19406|6|7|9|
19407|5|5|6|6
19408|4|4|5|5
19409|7|8|5|
19410|4|5|9|
19411|8|4|7|1.4
19412|8|8|8|8
19413|9|8|6|3
19414|6|2|60|12
19415|6|7|7|
19416|4|4|7|7
19417|4|5|7|
19418|9|8|11|5.5
19419|8|3|36|6
19420|4|4|13|13
19421|6|6|6|6
19422|4|4|9|9
19423|7|7|7|7
19424|4|5|17|
19425|4|4|10|10
19426|7|6|11|5.5
19427|1|1|16|16
19428|8|4|14|2.8
19429|9|1|29|3.2222222222222
19430|3|1|11|3.6666666666667
19431|6|6|7|7
19432|9|8|6|3
19433|7|7|10|10
19434|9|8|10|5
19435|9|9|8|8
19436|4|4|24|24
19437|6|7|7|
19438|5|6|7|
19439|6|6|9|9
19440|6|7|5|
19441|8|8|6|6
19442|5|6|9|
19443|5|5|19|19
19444|4|4|23|23
19445|6|6|9|9
19446|7|7|6|6
19447|0|1|16|
19448|8|2|37|5.2857142857143
19449|6|4|54|18
19450|8|1|28|3.5
19451|7|4|7|1.75
19452|7|7|5|5
19453|0|1|11|
19454|3|1|103|34.333333333333
19455|7|1|44|6.2857142857143
19456|5|6|10|
19457|6|6|3|3
19458|10|9|5|2.5
19459|5|6|5|
19460|6|6|13|13
19461|7|6|5|2.5
19462|6|6|6|6
19463|7|6|19|9.5
19464|6|6|7|7
19465|1|1|18|18
19466|6|6|9|9
19467|7|8|4|
19468|6|7|9|
19469|4|4|11|11
19470|6|6|15|15
19471|1|1|13|13
19472|10|11|1|
19473|4|4|12|12
19474|6|2|26|5.2
19475|8|2|79|11.285714285714
19476|10|10|3|3
19477|10|11|1|
19478|7|7|7|7
19479|0|1|30|
19480|6|1|43|7.1666666666667
19481|1|1|21|21
19482|9|9|9|9
19483|0|1|6|
19484|7|7|12|12
19485|4|4|4|4
19486|9|8|7|3.5
19487|6|7|8|
19488|1|1|103|103
19489|2|3|13|
19490|4|1|57|14.25
19491|6|1|52|8.6666666666667
19492|9|7|18|6
19493|1|1|11|11
19494|8|4|19|3.8
19495|6|4|12|4
19496|2|1|17|8.5
19497|7|3|29|5.8
19498|9|8|10|5
19499|4|5|9|
19500|2|2|8|8
19501|5|5|10|10
19502|9|8|5|2.5
19503|7|8|6|
19504|1|1|18|18
19505|8|5|23|5.75
19506|4|4|5|5
19507|7|7|10|10
19508|8|5|19|4.75
19509|9|9|8|8
19510|4|5|7|
19511|7|7|14|14
19512|4|5|9|
19513|4|5|9|
19514|6|6|5|5
19515|5|6|6|
19516|9|4|22|3.6666666666667
19517|9|9|6|6
19518|5|5|9|9
19519|4|4|11|11
19520|7|7|9|9
19521|6|6|6|6
19522|7|7|10|10
19523|6|6|8|8
19524|7|2|51|8.5
19525|5|4|11|5.5
19526|5|5|8|8
19527|7|7|10|10
19528|7|6|8|4
19529|2|1|21|10.5
19530|8|3|16|2.6666666666667
19531|7|7|14|14
19532|3|4|12|
19533|4|5|7|
19534|6|6|14|14
19535|12|13|2|
19536|9|9|4|4
19537|9|8|13|6.5
19538|5|4|20|10
19539|2|2|9|9
19540|6|1|108|18
19541|5|5|5|5
19542|6|6|3|3
19543|3|3|11|11
19544|0|1|2|
19545|6|7|11|
19546|4|5|9|
19547|5|5|13|13
19548|7|7|17|17
19549|4|3|10|5
19550|10|9|6|3
19551|9|1|25|2.7777777777778
19552|6|6|5|5
19553|5|6|4|
19554|7|5|25|8.3333333333333
19555|10|10|5|5
19556|7|7|7|7
19557|5|5|7|7
19558|2|1|28|14
19559|5|5|7|7
19560|0|1|10|
19561|4|4|7|7
19562|7|1|30|4.2857142857143
19563|4|2|47|15.666666666667
19564|6|7|4|
19565|2|2|10|10
19566|4|2|39|13
19567|2|1|42|21
19568|2|1|25|12.5
19569|5|6|5|
19570|8|7|8|4
19571|7|6|7|3.5
19572|7|6|11|5.5
19573|7|7|13|13
19574|3|3|11|11
19575|6|6|9|9
19576|1|2|22|
19577|6|6|15|15
19578|6|6|6|6
19579|7|7|8|8
19580|4|5|9|
19581|6|4|35|11.666666666667
19582|2|1|14|7
19583|6|5|11|5.5
19584|4|5|7|
19585|1|1|13|13
19586|9|1|44|4.8888888888889
19587|6|1|62|10.333333333333
19588|8|2|73|10.428571428571
19589|9|10|1|
19590|8|2|49|7
19591|6|6|4|4
19592|10|10|4|4
19593|4|4|4|4
19594|7|7|13|13
19595|9|9|2|2
19596|8|8|8|8
19597|7|8|3|
19598|7|7|8|8
19599|9|9|4|4
19600|4|2|16|5.3333333333333
19601|3|1|34|11.333333333333
19602|10|8|18|6
19603|2|2|28|28
19604|5|4|16|8
19605|6|7|7|
19606|6|6|7|7
19607|10|10|3|3
19608|4|4|12|12
19609|5|5|11|11
19610|3|3|11|11
19611|10|10|4|4
19612|5|6|6|
19613|4|5|3|
19614|4|5|11|
19615|5|6|9|
19616|8|8|13|13
19617|1|1|19|19
19618|9|8|13|6.5
19619|1|1|22|22
19620|3|2|19|9.5
19621|5|5|6|6
19622|7|7|7|7
19623|7|7|8|8
19624|9|9|7|7
19625|7|5|22|7.3333333333333
19626|3|1|11|3.6666666666667
19627|7|7|8|8
19628|0|1|9|
19629|5|5|9|9
19630|5|5|12|12
19631|4|3|14|7
19632|3|1|26|8.6666666666667
19633|9|9|5|5
19634|6|5|7|3.5
19635|7|7|8|8
19636|8|8|5|5
19637|5|5|7|7
19638|4|5|8|
19639|9|10|1|
19640|8|9|4|
19641|7|7|11|11
19642|5|6|4|
19643|7|8|7|
19644|3|2|21|10.5
19645|7|7|10|10
19646|8|8|12|12
19647|10|11|1|
19648|4|1|64|16
19649|6|6|7|7
19650|4|5|10|
19651|1|1|15|15
19652|4|5|7|
19653|5|5|5|5
19654|7|7|11|11
19655|3|3|30|30
19656|9|10|1|
19657|4|5|9|
19658|8|8|14|14
19659|3|1|35|11.666666666667
19660|3|3|9|9
19661|12|13|4|
19662|2|3|1|
19663|7|3|8|1.6
19664|7|7|11|11
19665|10|11|1|
19666|6|6|14|14
19667|6|6|6|6
19668|4|5|9|
19669|2|1|45|22.5
19670|10|4|21|3
19671|4|4|6|6
19672|5|4|9|4.5
19673|1|1|13|13
19674|5|6|13|
19675|0|1|10|
19676|7|6|15|7.5
19677|0|1|1|
19678|8|8|16|16
19679|7|8|5|
19680|9|9|3|3
19681|6|6|3|3
19682|5|5|9|9
19683|10|11|2|
19684|4|5|6|
19685|8|1|30|3.75
19686|6|7|8|
19687|5|1|35|7
19688|12|10|2|0.66666666666667
19689|1|1|10|10
19690|8|8|5|5
19691|10|8|7|2.3333333333333
19692|1|1|10|10
19693|9|1|31|3.4444444444444
19694|5|6|8|
19695|7|7|6|6
19696|7|7|6|6
19697|10|10|2|2
19698|10|8|13|4.3333333333333
19699|6|2|71|14.2
19700|6|2|24|4.8
19701|8|1|716|89.5
19702|4|4|10|10
19703|0|1|11|
19704|10|9|7|3.5
19705|6|7|10|
19706|10|8|6|2
19707|4|5|10|
19708|6|1|60|10
19709|5|1|16|3.2
19710|8|8|15|15
19711|1|1|19|19
19712|1|1|13|13
19713|6|6|7|7
19714|8|8|6|6
19715|7|4|10|2.5
19716|2|2|12|12
19717|8|6|13|4.3333333333333
19718|4|4|6|6
19719|6|6|4|4
19720|6|6|5|5
19721|0|1|15|
19722|12|13|1|
19723|8|8|6|6
19724|1|1|15|15
19725|6|5|20|10
19726|8|8|9|9
19727|6|6|6|6
19728|8|7|9|4.5
19729|4|4|7|7
19730|0|1|16|
19731|5|4|20|10
19732|3|4|16|
19733|6|4|45|15
19734|4|4|11|11
19735|5|6|13|
19736|4|1|46|11.5
19737|7|7|6|6
19738|9|9|3|3
19739|7|8|4|
19740|1|1|9|9
19741|7|4|12|3
19742|8|9|5|
19743|2|3|1|
19744|4|5|7|
19745|4|4|8|8
19746|7|2|17|2.8333333333333
19747|8|8|6|6
19748|10|8|12|4
19749|9|8|17|8.5
19750|8|8|9|9
19751|7|4|14|3.5
19752|5|6|7|
19753|10|10|3|3
19754|4|1|33|8.25
19755|9|8|10|5
19756|8|2|78|11.142857142857
19757|6|6|8|8
19758|7|7|10|10
19759|6|6|7|7
19760|6|6|5|5
19761|9|1|18|2
19762|5|6|4|
19763|9|5|17|3.4
19764|2|1|13|6.5
19765|5|4|6|3
19766|6|6|6|6
19767|10|9|6|3
19768|6|7|3|
19769|4|4|6|6
19770|0|1|15|
19771|2|1|13|6.5
19772|9|8|6|3
19773|0|1|8|
19774|5|5|8|8
19775|6|7|1|
19776|0|1|13|
19777|5|1|44|8.8
19778|7|7|7|7
19779|7|7|6|6
19780|10|10|2|2
19781|9|9|8|8
19782|7|7|9|9
19783|1|1|11|11
19784|7|8|12|
19785|4|1|50|12.5
19786|4|4|10|10
19787|1|2|2|
19788|5|6|7|
19789|6|7|9|
19790|7|7|8|8
19791|5|2|35|8.75
19792|4|4|12|12
19793|7|7|7|7
19794|6|4|6|2
19795|0|1|4|
19796|6|6|5|5
19797|6|6|14|14
19798|8|8|13|13
19799|6|5|13|6.5
19800|8|9|1|
19801|9|9|5|5
19802|4|3|34|17
19803|2|2|26|26
19804|7|7|9|9
19805|8|8|5|5
19806|5|5|7|7
19807|5|5|9|9
19808|7|6|8|4
19809|5|5|6|6
19810|6|7|7|
19811|4|1|52|13
19812|5|1|33|6.6
19813|7|7|3|3
19814|6|4|18|6
19815|9|10|1|
19816|4|4|16|16
19817|2|1|12|6
19818|10|10|6|6
19819|5|6|9|
19820|4|4|23|23
19821|6|7|9|
19822|9|9|9|9
19823|4|4|9|9
19824|5|2|22|5.5
19825|5|5|21|21
19826|4|4|7|7
19827|3|2|11|5.5
19828|0|1|5|
19829|4|4|6|6
19830|3|4|8|
19831|8|8|9|9
19832|5|6|20|
19833|10|11|1|
19834|4|5|9|
19835|6|6|8|8
19836|7|7|13|13
19837|1|1|15|15
19838|5|5|7|7
19839|6|7|4|
19840|8|7|4|2
19841|0|1|7|
19842|7|8|6|
19843|9|10|2|
19844|6|6|9|9
19845|7|2|65|10.833333333333
19846|4|4|7|7
19847|5|5|11|11
19848|1|1|19|19
19849|3|3|11|11
19850|9|8|9|4.5
19851|5|5|7|7
19852|0|1|1|
19853|1|1|20|20
19854|2|1|17|8.5
19855|12|13|2|
19856|4|1|45|11.25
19857|4|1|70|17.5
19858|4|4|3|3
19859|5|5|6|6
19860|5|3|18|6
19861|3|4|6|
19862|6|6|6|6
19863|5|5|12|12
19864|9|1|23|2.5555555555556
19865|3|1|13|4.3333333333333
19866|9|7|5|1.6666666666667
19867|8|8|14|14
19868|8|7|15|7.5
19869|4|1|22|5.5
19870|0|1|4|
19871|7|7|15|15
19872|9|7|25|8.3333333333333
19873|7|6|8|4
19874|5|5|7|7
19875|4|4|5|5
19876|6|7|5|
19877|7|7|13|13
19878|6|6|7|7
19879|6|3|27|6.75
19880|7|7|8|8
19881|9|8|10|5
19882|6|1|52|8.6666666666667
19883|4|4|9|9
19884|2|2|2|2
19885|0|1|16|
19886|7|7|8|8
19887|4|4|15|15
19888|1|1|14|14
19889|6|6|5|5
19890|3|4|8|
19891|6|3|10|2.5
19892|7|6|4|2
19893|6|5|14|7
19894|7|6|15|7.5
19895|0|1|12|
19896|7|8|2|
19897|5|5|8|8
19898|5|5|3|3
19899|6|7|7|
19900|3|4|12|
19901|5|5|8|8
19902|9|10|4|
19903|6|6|6|6
19904|0|1|13|
19905|7|7|5|5
19906|8|9|2|
19907|4|1|30|7.5
19908|5|6|7|
19909|6|6|8|8
19910|8|9|6|
19911|5|5|7|7
19912|5|5|6|6
19913|10|9|10|5
19914|0|1|8|
19915|1|1|16|16
19916|2|1|25|12.5
19917|10|4|7|1
19918|8|1|143|17.875
19919|9|9|5|5
19920|6|7|5|
19921|6|7|7|
19922|2|3|12|
19923|8|3|65|10.833333333333
19924|8|8|3|3
19925|8|3|6|1
19926|6|6|11|11
19927|8|8|8|8
19928|12|7|13|2.1666666666667
19929|6|6|13|13
19930|9|8|6|3
19931|5|5|8|8
19932|9|8|11|5.5
19933|10|8|7|2.3333333333333
19934|12|10|2|0.66666666666667
19935|8|7|25|12.5
19936|10|8|3|1
19937|6|1|54|9
19938|8|8|9|9
19939|7|3|20|4
19940|6|6|7|7
19941|3|3|12|12
19942|2|3|10|
19943|1|1|14|14
19944|6|6|6|6
19945|4|4|13|13
19946|7|7|4|4
19947|9|9|6|6
19948|8|6|18|6
19949|10|6|15|3
19950|9|7|9|3
19951|4|4|11|11
19952|5|4|12|6
19953|1|1|13|13
19954|5|1|45|9
19955|4|4|8|8
19956|4|2|23|7.6666666666667
19957|9|9|8|8
19958|8|5|25|6.25
19959|9|8|6|3
19960|1|1|18|18
19961|4|4|12|12
19962|0|1|15|
19963|8|8|7|7
19964|6|7|4|
19965|4|3|12|6
19966|6|6|4|4
19967|5|5|12|12
19968|1|1|21|21
19969|2|1|13|6.5
19970|5|6|6|
19971|6|7|5|
19972|7|7|5|5
19973|5|1|92|18.4
19974|1|1|25|25
19975|9|4|5|0.83333333333333
19976|1|1|31|31
19977|7|5|32|10.666666666667
19978|5|1|25|5
19979|0|1|7|
19980|8|7|16|8
19981|8|1|16|2
19982|5|5|5|5
19983|2|1|9|4.5
19984|6|7|6|
19985|6|2|67|13.4
19986|10|9|6|3
19987|5|5|8|8
19988|7|3|41|8.2
19989|7|1|15|2.1428571428571
19990|2|3|11|
19991|7|6|7|3.5
19992|5|6|17|
19993|5|6|7|
19994|4|5|10|
19995|12|13|2|
19996|5|6|4|
19997|9|8|4|2
19998|8|6|10|3.3333333333333
19999|7|8|7|
20000|6|6|5|5
20001|6|6|7|7
20002|4|4|17|17
20003|6|6|3|3
20004|9|8|9|4.5
20005|1|1|14|14
20006|4|4|14|14
20007|6|7|9|
20008|5|6|6|
20009|4|4|7|7
20010|6|6|6|6
20011|3|3|16|16
20012|8|8|11|11
20013|4|5|6|
20014|5|5|14|14
20015|5|5|13|13
20016|5|3|11|3.6666666666667
20017|2|1|20|10
20018|3|4|6|
20019|7|5|34|11.333333333333
20020|6|6|7|7
20021|4|1|21|5.25
20022|4|2|33|11
20023|6|6|7|7
20024|9|8|10|5
20025|7|7|6|6
20026|6|7|8|
20027|5|5|8|8
20028|5|5|5|5
20029|5|4|13|6.5
20030|7|7|12|12
20031|5|5|7|7
20032|6|6|8|8
20033|7|6|9|4.5
20034|5|5|6|6
20035|1|1|14|14
20036|7|8|4|
20037|8|8|20|20
20038|4|5|5|
20039|4|1|29|7.25
20040|7|1|119|17
20041|4|4|36|36
20042|10|9|4|2
20043|0|1|4|
20044|5|4|30|15
20045|8|1|32|4
20046|6|6|6|6
20047|0|1|11|
20048|9|1|28|3.1111111111111
20049|1|1|21|21
20050|4|5|5|
20051|10|10|5|5
20052|4|1|29|7.25
20053|7|7|18|18
20054|6|6|11|11
20055|8|5|29|7.25
20056|10|11|1|
20057|5|6|6|
20058|5|6|6|
20059|9|2|36|4.5
20060|5|6|8|
20061|9|8|14|7
20062|5|4|9|4.5
20063|5|5|10|10
20064|7|7|8|8
20065|3|1|46|15.333333333333
20066|7|7|5|5
20067|5|5|12|12
20068|5|5|7|7
20069|7|7|20|20
20070|6|7|8|
20071|7|8|6|
20072|7|7|20|20
20073|9|8|9|4.5
20074|9|10|3|
20075|8|4|47|9.4
20076|4|2|4|1.3333333333333
20077|1|1|38|38
20078|5|5|10|10
20079|6|6|13|13
20080|1|1|13|13
20081|4|4|8|8
20082|5|5|9|9
20083|10|11|1|
20084|5|6|6|
20085|1|2|16|
20086|9|10|7|
20087|9|9|6|6
20088|4|4|13|13
20089|1|1|14|14
20090|9|8|6|3
20091|5|6|7|
20092|3|1|101|33.666666666667
20093|7|7|7|7
20094|5|5|5|5
20095|8|8|5|5
20096|8|5|42|10.5
20097|1|1|14|14
20098|0|1|11|
20099|2|3|11|
20100|6|6|9|9
20101|1|1|12|12
20102|5|5|4|4
20103|10|9|7|3.5
20104|7|8|6|
20105|8|8|22|22
20106|8|8|7|7
20107|7|6|6|3
20108|4|5|14|
20109|4|4|10|10
20110|8|6|16|5.3333333333333
20111|4|3|14|7
20112|7|4|9|2.25
20113|9|8|6|3
20114|8|3|40|6.6666666666667
20115|2|2|14|14
20116|5|6|5|
20117|0|1|7|
20118|4|4|24|24
20119|6|6|10|10
20120|7|3|17|3.4
20121|3|1|56|18.666666666667
20122|6|2|28|5.6
20123|4|4|14|14
20124|8|7|7|3.5
20125|7|7|7|7
20126|7|7|6|6
20127|3|2|16|8
20128|6|4|12|4
20129|4|5|5|
20130|7|7|6|6
20131|7|7|8|8
20132|3|3|5|5
20133|2|1|73|36.5
20134|5|1|43|8.6
20135|7|4|21|5.25
20136|10|10|7|7
20137|6|5|41|20.5
20138|6|5|12|6
20139|4|4|13|13
20140|4|1|111|27.75
20141|7|7|10|10
20142|3|1|35|11.666666666667
20143|7|6|11|5.5
20144|9|10|3|
20145|7|7|9|9
20146|4|4|3|3
20147|6|6|9|9
20148|4|4|12|12
20149|3|3|20|20
20150|1|1|13|13
20151|8|8|7|7
20152|7|7|5|5
20153|5|5|6|6
20154|9|9|7|7
20155|5|5|17|17
20156|1|1|13|13
20157|1|1|8|8
20158|10|8|3|1
20159|6|6|6|6
20160|4|3|26|13
20161|4|3|17|8.5
20162|3|1|49|16.333333333333
20163|4|4|9|9
20164|2|1|13|6.5
20165|7|8|7|
20166|8|8|8|8
20167|6|7|7|
20168|9|10|1|
20169|6|6|16|16
20170|5|4|13|6.5
20171|4|4|15|15
20172|9|2|19|2.375
20173|6|6|14|14
20174|9|9|7|7
20175|4|5|9|
20176|7|8|7|
20177|4|5|2|
20178|1|2|16|
20179|6|7|10|
20180|8|8|7|7
20181|2|2|16|16
20182|9|9|5|5
20183|6|6|8|8
20184|0|1|12|
20185|10|11|1|
20186|6|7|7|
20187|7|5|24|8
20188|6|6|10|10
20189|5|3|34|11.333333333333
20190|4|1|21|5.25
20191|9|9|12|12
20192|5|5|10|10
20193|10|10|4|4
20194|7|7|8|8
20195|2|1|33|16.5
20196|7|4|7|1.75
20197|4|4|14|14
20198|8|7|29|14.5
20199|6|6|8|8
20200|8|8|11|11
20201|0|1|4|
20202|5|5|9|9
20203|4|5|3|
20204|1|1|17|17
20205|9|9|7|7
20206|5|5|12|12
20207|6|1|88|14.666666666667
20208|9|9|4|4
20209|6|6|7|7
20210|6|6|6|6
20211|8|8|12|12
20212|5|5|9|9
